tweet_id,category
2070420917675577386,digital-influential
2069389670148972830,diplomatic-relational
2065084859970707860,religious-referential
2064719717248450638,religious-referential
2064655899155706357,diplomatic-relational
2064651508969340996,religious-referential
2062863460564676931,diplomatic-relational
2062166284624605445,religious-referential
2062150296067768689,religious-referential
2058137539580428635,religious-referential
2056437345440731442,religious-referential
2054296937998753945,religious-referential
2052458018793566224,religious-referential
2046926080208982136,unclassified
2046921314632442247,unclassified
2046530379410993564,diplomatic-relational
2041489682064605360,unclassified
2041473628257104263,religious-referential
2040067810383081769,diplomatic-relational
2032403887395651737,religious-referential
2027355414501712264,unclassified
2022315908593525148,diplomatic-relational
2014299532201165017,religious-referential
2014250431703142518,religious-referential
2013609522569285772,religious-referential
2012095645696381166,digital-influential
2011740813852885436,digital-influential
2008513843417473528,diplomatic-relational
2008460679406043579,religious-referential
2008186890600767602,religious-referential
2007861923237503385,unclassified
2005599548933296504,unclassified
2004507846512447506,diplomatic-relational
2000284278467531055,digital-influential
2000157957376335872,religious-referential
1998387486846865907,digital-influential
1997822217061859715,unclassified
1996954860348916022,diplomatic-relational
1996885963180818563,diplomatic-relational
1994410771623596225,religious-referential
1994040641479934121,religious-referential
1993624807540478157,diplomatic-relational
1992978257097183241,diplomatic-relational
1987151138593145262,unclassified
1986010307781693952,religious-referential
1985674392429318462,religious-referential
1985670917318721694,unclassified
1985670112096239652,religious-referential
1985654615510024328,religious-referential
1980633419932442861,religious-referential
1979193117795332167,diplomatic-relational
1979186380883255771,unclassified
1979181579688677857,religious-referential
1978821972579549657,diplomatic-relational
1978791104020668536,religious-referential
1977691108982342055,diplomatic-relational
1975507865533038865,unclassified
1975172036898009381,religious-referential
1973674201698767096,diplomatic-relational
1973396377519501601,religious-referential
1973385700977352895,religious-referential
1973359725363536015,religious-referential
1971577017343824084,religious-referential
1971544554945052754,diplomatic-relational
1971503798377136331,religious-referential
1970871342716362839,religious-referential
1970827175214637296,religious-referential
1968694523665457545,diplomatic-relational
1968628956057284701,religious-referential
1968599264285577649,religious-referential
1968333608827121937,religious-referential
1968320895761764752,religious-referential
1968273445806064012,religious-referential
1968237991958385037,religious-referential
1967545491413201011,religious-referential
1966496331528077679,religious-referential
1963255644976201742,religious-referential
1963220412336046588,religious-referential
1962885671451766989,religious-referential
1961425024017207547,religious-referential
1953458919143096509,religious-referential
1949809103632548223,religious-referential
1948679588998971456,diplomatic-relational
1948676016358002837,diplomatic-relational
1948377144352010445,religious-referential
1942883373824758245,religious-referential
1942515352404971956,religious-referential
1941138912296214859,religious-referential
1940746539548525053,diplomatic-relational
1940362040050434479,unclassified
1940348559456608487,religious-referential
1940337948890910797,unclassified
1937882027430203404,unclassified
1937427041671950839,diplomatic-relational
1937118713657860479,diplomatic-relational
1937097453356167489,diplomatic-relational
1935701705867354516,unclassified
1935622424734675393,unclassified
1934995840084398541,religious-referential
1934991240077959256,religious-referential
1934557645903384629,diplomatic-relational
1934536380472017106,unclassified
1933535909175308380,diplomatic-relational
1933493154709201104,religious-referential
1933491539734638930,unclassified
1933179690925347065,unclassified
1933150868980855091,diplomatic-relational
1933125211559448798,unclassified
1933093162358104207,unclassified
1932175160897085783,religious-referential
1931466908739489849,religious-referential
1930931141923541124,religious-referential
1930635158673113388,religious-referential
1930617554516480229,religious-referential
1929908666422935898,religious-referential
1929879917551890923,diplomatic-relational
1929833116534706200,diplomatic-relational
1929502632361472358,unclassified
1929501056075014436,religious-referential
1925967076436443265,religious-referential
1925913448669454618,unclassified
1925844082598760521,diplomatic-relational
1925572299614228494,digital-influential
1925563925162016870,religious-referential
1925151532263112741,religious-referential
1924747427078107546,unclassified
1924411774364742099,unclassified
1923464450142523649,digital-influential
1923398609589919819,religious-referential
1923395670259519828,religious-referential
1923393178167660814,religious-referential
1922584358176653614,diplomatic-relational
1922386886544240760,diplomatic-relational
1922204327952683491,religious-referential
1921923167364276289,diplomatic-relational
1921292536187945285,unclassified
1920843000826978767,digital-influential
1920832635758154174,religious-referential
1920809842182099408,religious-referential
1920785428837195790,religious-referential
1920466778171363606,religious-referential
1920055764359483880,religious-referential
1917525153115693347,religious-referential
1917520641772634507,religious-referential
1917492424206581817,unclassified
1917226102788903059,religious-referential
1917212998680433040,digital-influential
1917194894528962838,unclassified
1917181014205464914,religious-referential
1917166417079570788,religious-referential
1917154304668135842,religious-referential
1917146162097693178,diplomatic-relational
1916864437295685888,religious-referential
1916766344193692079,religious-referential
1916209590561046926,digital-influential
1915787613765615751,diplomatic-relational
1915777683255853523,diplomatic-relational
1915739211333853444,diplomatic-relational
1915723645877473625,religious-referential
1915707801487266108,diplomatic-relational
1915704157463367984,religious-referential
1915424206310838447,religious-referential
1915395202975490385,religious-referential
1915374548708462843,religious-referential
1914334841971085685,religious-referential
1914294120312430612,religious-referential
1912865419540439040,religious-referential
1912509966398726348,unclassified
1912156680206319722,religious-referential
1911706871473258682,digital-influential
1910654590346834367,religious-referential
1910603075816988761,unclassified
1910345034399908239,diplomatic-relational
1909570677159444800,diplomatic-relational
1908127880585908644,diplomatic-relational
1908114857880138134,religious-referential
1907799699941126418,unclassified
1907453791579857219,diplomatic-relational
1905375329633341616,religious-referential
1904878085456998517,unclassified
1904868236442693864,diplomatic-relational
1904856402700439615,digital-influential
1904851540399059033,diplomatic-relational
1904841824839074277,unclassified
1904546314890703177,unclassified
1904527840474697753,unclassified
1904176232129859965,unclassified
1902368432072413495,diplomatic-relational
1902365410302763009,religious-referential
1902327573301883387,religious-referential
1900143367637324279,religious-referential
1900142115025260958,religious-referential
1899803460066812087,religious-referential
1899440943763231141,religious-referential
1899427600625275237,digital-influential
1899081643270287415,religious-referential
1899041395140149270,religious-referential
1897653617772958171,religious-referential
1897601590107803909,religious-referential
1897299093661344128,unclassified
1896927351289876772,religious-referential
1896899384639705354,unclassified
1896888037503811880,religious-referential
1896879759247983042,unclassified
1896870917852299280,religious-referential
1896855556570370267,diplomatic-relational
1894365518615732370,diplomatic-relational
1892953409092718785,unclassified
1892589527836877204,religious-referential
1892543459975684168,religious-referential
1892127652007334251,religious-referential
1891858409185493303,unclassified
1891811740607783086,religious-referential
1890029134019182936,religious-referential
1890021779814617139,religious-referential
1889683268888346745,diplomatic-relational
1889593587374928039,religious-referential
1889317603073515603,religious-referential
1889270427404447756,religious-referential
1888930150596686332,religious-referential
1887884379201917042,diplomatic-relational
1887812001759387828,religious-referential
1887436424456147092,religious-referential
1886695145321464011,unclassified
1884260347336687650,diplomatic-relational
1883801435802128815,unclassified
1882373072638066805,religious-referential
1881646539053097067,unclassified
1881358210336186427,diplomatic-relational
1881317528720527361,diplomatic-relational
1879885053725200735,unclassified
1879840064139849841,digital-influential
1877718983505219780,diplomatic-relational
1877682528313585682,religious-referential
1876988723600003471,unclassified
1874775150480244806,diplomatic-relational
1874101211093492174,diplomatic-relational
1874091592870748389,diplomatic-relational
1874086115256525002,diplomatic-relational
1874075846480425026,diplomatic-relational
1873732125519970485,diplomatic-relational
1870111715448201457,unclassified
1870108146766885372,diplomatic-relational
1869755321864053051,religious-referential
1869660923583140021,religious-referential
1869392761012859010,diplomatic-relational
1869335413443395898,religious-referential
1869036849475506421,religious-referential
1869022839506079901,religious-referential
1868656189128745347,religious-referential
1868655027767976425,diplomatic-relational
1868623924902433104,diplomatic-relational
1866443430064541857,unclassified
1866082812501151949,unclassified
1865039737804788178,diplomatic-relational
1864991415421280605,diplomatic-relational
1864685518237163605,unclassified
1864283294705009150,religious-referential
1863964067485905391,diplomatic-relational
1863929532656349264,diplomatic-relational
1863926996918481142,diplomatic-relational
1863883390283309219,diplomatic-relational
1863858798718251261,religious-referential
1863561543507484871,religious-referential
1862512414560026926,digital-influential
1963249109038477419,religious-referential
1963214501139915241,religious-referential
1962851959364317542,religious-referential
1962822581628571946,diplomatic-relational
1963594358835253490,religious-referential
1963575526267757050,religious-referential
1963678540617990496,religious-referential
1963610263090770306,diplomatic-relational
1963599724000489521,religious-referential
1966443543234220535,religious-referential
1966147389233709439,digital-influential
1966106935276470353,religious-referential
1966065609852232130,diplomatic-relational
1965789414384378309,digital-influential
1965782721516667303,religious-referential
1965425917607772320,religious-referential
1963961506002796629,unclassified
1963682313830793668,diplomatic-relational
1920082277406499084,religious-referential
1966451839257174228,religious-referential
1920164408853946866,digital-influential
1920119635984204159,religious-referential
1967565760013934872,diplomatic-relational
1967550224328749561,religious-referential
1967519746183864450,diplomatic-relational
1966502758393024801,diplomatic-relational
1920546855529673178,religious-referential
1967957743446397231,religious-referential
1967930060385730932,religious-referential
1967609313104740780,diplomatic-relational
1967601950813462654,religious-referential
1967569118946881973,religious-referential
2080670928850079759,religious-referential
2080659693614059651,diplomatic-relational
2080590323739205636,unclassified
2080368173979709620,diplomatic-relational
2080356125040386064,diplomatic-relational
2079911778444550349,diplomatic-relational
2079879432613896399,unclassified
2079873949354070077,religious-referential
2079862342729236747,diplomatic-relational
2079158269583458582,religious-referential
2077502788557316583,unclassified
2074839497678713138,diplomatic-relational
2074833874501206040,religious-referential
2074109369952714844,religious-referential
2073052120404623437,diplomatic-relational
2072306279410712820,diplomatic-relational
2071953564658733396,religious-referential
2071584080076886472,religious-referential
2071579398960971912,unclassified
2071355801277460940,digital-influential
2071184247423926651,religious-referential
2070829207794360421,diplomatic-relational
2070503488715440580,diplomatic-relational
2069786356264382483,religious-referential
2069761905703501912,diplomatic-relational
2069540538177441803,diplomatic-relational
2068124272535416932,religious-referential
2067679257925480934,diplomatic-relational
2067506407964856817,religious-referential
2066806740838957179,digital-influential
2066631724457406674,unclassified
2066517023048237555,religious-referential
2066263913788809389,unclassified
2066161260710801844,diplomatic-relational
2065945615322751304,diplomatic-relational
2065873547260555718,unclassified
2065437529168302242,religious-referential
2064981028268036560,diplomatic-relational
2064701622114996275,diplomatic-relational
2064695719647142384,diplomatic-relational
2063892924136403171,diplomatic-relational
2062907528774615412,religious-referential
2062898841498550744,diplomatic-relational
2062842992205967738,unclassified
2061557868445196756,diplomatic-relational
2061139271646412804,religious-referential
2060794164422348812,diplomatic-relational
2059984398078951659,religious-referential
2059600169386062197,religious-referential
2059598802839916905,religious-referential
2059346764713402848,religious-referential
2059230960625873303,religious-referential
2058918897550549035,religious-referential
2058890596471722468,diplomatic-relational
2058882902696276448,religious-referential
2057875551730249797,diplomatic-relational
2057822177953550835,diplomatic-relational
2057763491805581496,unclassified
2057160647767416926,diplomatic-relational
2057095421378371920,religious-referential
2056617879190016366,religious-referential
2056610047673745582,religious-referential
2056438685525045527,unclassified
2056338538531090600,diplomatic-relational
2056114400767930748,unclassified
2055714866745200743,diplomatic-relational
2055295115330011155,diplomatic-relational
2055286902991806807,diplomatic-relational
2054573874440773689,religious-referential
2054555249176625613,religious-referential
2052763949599203708,religious-referential
2052719357499687076,religious-referential
2052156570599907605,religious-referential
2049209786068009377,diplomatic-relational
2049103843762352198,religious-referential
2048742824238068124,religious-referential
2048518338351874278,digital-influential
2047692626996940895,religious-referential
2047672638223401260,religious-referential
2047622655965085861,religious-referential
2047309028305297434,diplomatic-relational
2046941630888874127,religious-referential
2046604706688929987,religious-referential
2046356216436212218,religious-referential
2046333220891898097,religious-referential
2046240707665346774,religious-referential
2046233668054585540,religious-referential
2046146609356956129,religious-referential
2045088027110736224,digital-influential
2044783961612652640,diplomatic-relational
2044339282576281820,diplomatic-relational
2044134170117468222,digital-influential
2044061153626583074,religious-referential
2043678593318867405,unclassified
2042871695778644147,religious-referential
2042608894812324193,diplomatic-relational
2042293392252494026,unclassified
2041997598559436888,religious-referential
2041883499284644226,diplomatic-relational
2041526586655015062,diplomatic-relational
2041165915673309286,religious-referential
2041120103480066435,diplomatic-relational
2040072378202435825,unclassified
2040065558855520271,unclassified
2040062522946969680,religious-referential
2040032310645469460,religious-referential
2039774187607179599,religious-referential
2039643842010390855,diplomatic-relational
2039356366406521326,religious-referential
2039339337905541625,diplomatic-relational
2039278705973874881,diplomatic-relational
2038951677932257404,religious-referential
2038630172732141889,religious-referential
2038185543469613132,religious-referential
2037532774668619948,religious-referential
2037482523945501034,diplomatic-relational
2037470440751280603,religious-referential
2037182935934083080,religious-referential
2037099569872334959,diplomatic-relational
2035735395921453402,diplomatic-relational
2035658046278455795,religious-referential
2035034739518669053,religious-referential
2034719693823422684,diplomatic-relational
2034657582602748310,diplomatic-relational
2034274920264249645,diplomatic-relational
2034190944665301193,diplomatic-relational
2033898884641263834,religious-referential
2033677901116182920,religious-referential
2032599076907180482,religious-referential
2032174615645044808,religious-referential
2032078332464976354,unclassified
2031733817979916439,diplomatic-relational
2031729338639421740,religious-referential
2031690809213399206,religious-referential
2031018997303402649,diplomatic-relational
2030992795163373856,digital-influential
2030952155113201875,diplomatic-relational
2029930726057971749,unclassified
2029890299300819291,religious-referential
2029557745922216423,diplomatic-relational
2029551749296505212,religious-referential
2029204929357778994,diplomatic-relational
2029201155939619287,diplomatic-relational
2028455365902250074,diplomatic-relational
2028419194346201522,religious-referential
2028403139099947390,religious-referential
2027395871550095660,diplomatic-relational
2026979190130581789,diplomatic-relational
2026671166140637563,diplomatic-relational
2026667516207182279,diplomatic-relational
2026612427664576513,diplomatic-relational
2025923154023961067,religious-referential
2024860122866974753,unclassified
2024856688268804143,religious-referential
2024849916233732373,unclassified
2024847119387889778,diplomatic-relational
2024843318283178076,religious-referential
2024459776550158773,religious-referential
2024134216489779264,religious-referential
2024106810177651102,religious-referential
2024095852860469534,digital-influential
2023785162878665118,diplomatic-relational
2023448057627766852,religious-referential
2023378614167720400,diplomatic-relational
2023353164112830737,diplomatic-relational
2021977490235822351,religious-referential
2021929535927640475,religious-referential
2020102811619405856,diplomatic-relational
2019721736716267906,religious-referential
2019378166599721193,religious-referential
2019335331737186546,diplomatic-relational
2019016496845136222,religious-referential
2018682142960578926,diplomatic-relational
2018612763921182860,religious-referential
2017993099318878274,digital-influential
2016498759358620123,diplomatic-relational
2014708906526736744,diplomatic-relational
2014645604283019742,religious-referential
2014611755129766053,diplomatic-relational
2014348170164158548,diplomatic-relational
2014325082118611417,religious-referential
2014253048420290862,religious-referential
2013933410415190368,diplomatic-relational
2013904862497394853,diplomatic-relational
2013627081565901224,diplomatic-relational
2013598170425475328,diplomatic-relational
2013583709899833779,digital-influential
2013340881110041044,unclassified
2013249899303780727,diplomatic-relational
2012794287159689324,diplomatic-relational
2012164502121255200,diplomatic-relational
2011806943577268482,digital-influential
2009627319338721764,diplomatic-relational
2009575209519784165,religious-referential
2009195791869419520,religious-referential
2008481912071885288,religious-referential
2008147059342463426,religious-referential
2007736672927326430,unclassified
2007735447594942763,unclassified
2007088113534091668,diplomatic-relational
2007019043950379186,unclassified
2007016343674183710,diplomatic-relational
2006373868068302945,religious-referential
2006293810062704756,religious-referential
2004499249770496503,diplomatic-relational
2004483619755376646,unclassified
2004470701454151956,unclassified
2004201148652343701,religious-referential
2002478161574133790,unclassified
2001963473295810683,diplomatic-relational
2001295567205367829,unclassified
2001277015962304866,digital-influential
2000462372545175910,digital-influential
1999920531261517965,religious-referential
1999802600343158819,digital-influential
1998704108434289065,diplomatic-relational
1998702174319075577,diplomatic-relational
1998405008706973884,diplomatic-relational
1998345607333703825,religious-referential
1998317445304483948,unclassified
1996933696398463090,diplomatic-relational
1996907244605395234,diplomatic-relational
1996872673121784032,religious-referential
1996586496455852052,diplomatic-relational
1996164514245722480,diplomatic-relational
1995851156141359232,religious-referential
1994412135343145084,diplomatic-relational
1994409027934073313,diplomatic-relational
1994394941750116709,religious-referential
1994346044159676563,religious-referential
1994026425230184948,religious-referential
1994006306580029894,religious-referential
1992910904808415287,unclassified
1991956400055128396,diplomatic-relational
1991395470099538225,diplomatic-relational
1991137617065161010,diplomatic-relational
1987889037445873769,unclassified
1987245594419880435,unclassified
1986795346282905924,religious-referential
1986789442091118853,diplomatic-relational
1986758198502543654,diplomatic-relational
1986749121102053737,diplomatic-relational
1985802224832766386,diplomatic-relational
1984957613071602095,religious-referential
1984371154631729650,religious-referential
1984256539021000734,diplomatic-relational
1984212684326494261,diplomatic-relational
1983192539722141963,religious-referential
1983175504820875745,diplomatic-relational
1983099232836821361,religious-referential
1982811402713595909,digital-influential
1981746520798945366,religious-referential
1981097047320072497,diplomatic-relational
1980546753545052625,unclassified
1980276662940889312,diplomatic-relational
1980269052653125644,digital-influential
1978736008339337531,diplomatic-relational
1978470447386673163,religious-referential
1978454501167083596,diplomatic-relational
1978433519060685083,unclassified
1978421456015855848,religious-referential
1978403234084487524,religious-referential
1978391376959009008,religious-referential
1978086843087310999,diplomatic-relational
1978040076719313206,digital-influential
1977709375465635945,unclassified
1976697405182738542,religious-referential
1976640194507112656,diplomatic-relational
1976598322334064729,religious-referential
1976582543047835853,religious-referential
1976266050615566686,unclassified
1976232623170322709,religious-referential
1975201199487144254,religious-referential
1975192048748626277,unclassified
1975167595784396852,diplomatic-relational
1974417288783921529,unclassified
1974121918124134675,diplomatic-relational
1973831643162153386,religious-referential
1973376029667233834,diplomatic-relational
1973137677378556043,religious-referential
1973037787881603216,unclassified
1972956913051763116,religious-referential
1972953418932306051,unclassified
1972945699382923608,religious-referential
1972678719190823249,religious-referential
1972572822464831730,religious-referential
1972244203716649061,diplomatic-relational
1972240538381525046,unclassified
1972024004581216361,religious-referential
1971568147187818607,diplomatic-relational
1971213117146447956,religious-referential
1971135302610845795,religious-referential
1970839522691678703,diplomatic-relational
1970817553347047453,religious-referential
1970805747177926702,religious-referential
1970800734783590632,diplomatic-relational
1970796157430583592,religious-referential
1970792433345523872,diplomatic-relational
1970444038001062205,diplomatic-relational
1970433547464053219,religious-referential
1970403446105804953,religious-referential
1970218682694676619,unclassified
1970126309293703520,unclassified
1969756637561802881,religious-referential
1969672562905932086,diplomatic-relational
1969528583010894105,diplomatic-relational
1969348458545872917,religious-referential
1968974395637952999,religious-referential
1968696628719636578,diplomatic-relational
1968688920943579463,religious-referential
1968618717052379193,religious-referential
1968613060198686741,religious-referential
1968608994722726058,religious-referential
1968603599585333753,diplomatic-relational
1968590145419948172,religious-referential
1968315940892016972,religious-referential
1968315141658984568,religious-referential
1968306880201314509,religious-referential
1967965045524140345,religious-referential
1961426556988875212,diplomatic-relational
1961366196025967071,religious-referential
1960712661940810170,religious-referential
1960700072238153814,diplomatic-relational
1960694221788049500,religious-referential
1960284577382977960,religious-referential
1959908062728175738,religious-referential
1959360543589867774,diplomatic-relational
1953087764456505794,religious-referential
1952684919991189833,diplomatic-relational
1952371890888282301,religious-referential
1951285831043289258,religious-referential
1951281162048930285,diplomatic-relational
1951249022938738726,diplomatic-relational
1951239340073304427,religious-referential
1950916060850344393,diplomatic-relational
1950558727167180841,diplomatic-relational
1950520451769213333,religious-referential
1950207039663226963,unclassified
1949848961067495714,religious-referential
1949724700453544264,religious-referential
1949204806863659440,religious-referential
1949079611742068983,diplomatic-relational
1948861115808534849,diplomatic-relational
1948746182731120748,diplomatic-relational
1948678344611958879,religious-referential
1948677073033183732,religious-referential
1948674897074340242,digital-influential
1948673981973729475,diplomatic-relational
1947586891382952336,diplomatic-relational
1947267874633965618,diplomatic-relational
1946151744142008462,diplomatic-relational
1944722253771427971,diplomatic-relational
1944069330884333876,digital-influential
1943766382639988841,religious-referential
1943670968737477004,diplomatic-relational
1943277477679305014,religious-referential
1943273536090751067,diplomatic-relational
1942960460636332307,religious-referential
1942943478222098711,religious-referential
1942175409858109762,digital-influential
1941582719437144365,diplomatic-relational
1941143535392337959,diplomatic-relational
1941136804306190531,diplomatic-relational
1941078363151737310,religious-referential
1941061773492457760,religious-referential
1940736055747158423,unclassified
1940730524726972678,religious-referential
1940714859899035727,religious-referential
1940396903038104021,diplomatic-relational
1940393936364957756,religious-referential
1940380142888788096,diplomatic-relational
1939255910473355556,unclassified
1938601384107999371,religious-referential
1938369143138296124,diplomatic-relational
1938337769904083152,diplomatic-relational
1938246291559223702,diplomatic-relational
1938240164335124625,religious-referential
1938189637991768190,unclassified
1938176013604622539,unclassified
1937874401976029449,religious-referential
1937868263045636246,diplomatic-relational
1937809950173954212,diplomatic-relational
1936082063850975612,religious-referential
1936068535945474377,diplomatic-relational
1935650106297942070,diplomatic-relational
1935335082891293077,diplomatic-relational
1934910160281158058,religious-referential
1933527908158464005,diplomatic-relational
1932123612015731060,digital-influential
1931785794278072738,digital-influential
1931319054079287748,religious-referential
1931091759372595499,religious-referential
1931065063936241682,religious-referential
1930926580034928965,religious-referential
1930924114736251176,religious-referential
1930642396116660568,digital-influential
1930631145957314669,religious-referential
1930265130597531797,religious-referential
1930186638061109591,religious-referential
1929661278861021364,religious-referential
1929154323142869380,diplomatic-relational
1928518688820375905,religious-referential
1928455961619857522,religious-referential
1928131295848075391,religious-referential
1928014047892340798,religious-referential
1927472834218963061,unclassified
1927027229717835863,diplomatic-relational
1926921946819637583,diplomatic-relational
1926914804431609878,digital-influential
1926675827002847714,diplomatic-relational
1926376321967362486,diplomatic-relational
1926220166188163304,digital-influential
1925909333302223102,diplomatic-relational
1925560290130698714,unclassified
1925193966749704372,diplomatic-relational
1925156148212007404,digital-influential
1925114180442452288,religious-referential
1924878724379316515,religious-referential
1924841817863827660,religious-referential
1924830381225701651,religious-referential
1923776910665900434,religious-referential
1923389265678856510,religious-referential
1923385339311177784,diplomatic-relational
1923372592041197611,religious-referential
1923369556824711426,digital-influential
1923347924295028943,digital-influential
1923344489445285982,religious-referential
1923339814486634938,religious-referential
1923332980354728192,digital-influential
1923327138767196599,religious-referential
1922971645527949337,diplomatic-relational
1922939848962281715,religious-referential
1922671290197954756,religious-referential
1922662146988540264,religious-referential
1922618483067564525,religious-referential
1922592811926303000,religious-referential
1922221145476018590,religious-referential
1922051400667668775,religious-referential
1921900724838928450,religious-referential
1921253574924796153,diplomatic-relational
1917532416601686045,religious-referential
1917141654458220861,religious-referential
1916955844790362117,diplomatic-relational
1916859013494407320,religious-referential
1916853915468841329,religious-referential
1916434431792791999,diplomatic-relational
1915055128316662042,diplomatic-relational
1915044800069620023,diplomatic-relational
1915000247266275658,religious-referential
1914998553841226156,religious-referential
1914700162603143354,diplomatic-relational
1914696450564378817,religious-referential
1914687241902751760,diplomatic-relational
1914601370998501796,diplomatic-relational
1914327343360872810,diplomatic-relational
1913315015643558014,religious-referential
1912496584396251377,religious-referential
1912163400571814029,religious-referential
1912141362926923959,religious-referential
1911741291966189871,diplomatic-relational
1911733668931830109,diplomatic-relational
1910259877177438581,religious-referential
1909977144677085437,religious-referential
1909621386185781306,unclassified
1909608812899631274,diplomatic-relational
1909563954331857100,religious-referential
1909544815643009523,unclassified
1909239845064425832,unclassified
1909170074105053563,unclassified
1908172292791660975,diplomatic-relational
1908165352971710654,diplomatic-relational
1908153338564104617,diplomatic-relational
1907817139265737022,diplomatic-relational
1907438755444588563,religious-referential
1907388564200890583,digital-influential
1907371431555461135,unclassified
1906673886038475258,religious-referential
1906654650842898510,religious-referential
1906444281222721633,religious-referential
1906424614604906900,diplomatic-relational
1905725618450546956,religious-referential
1905635602621407408,religious-referential
1905633576013410602,diplomatic-relational
1905628944772055107,religious-referential
1905255712407585016,religious-referential
1904989420434202963,religious-referential
1904471256927273448,religious-referential
1904168934556741740,religious-referential
1903385342520049720,religious-referential
1902700651706040628,religious-referential
1902673749008068876,religious-referential
1902336306685886569,religious-referential
1902316639690834121,religious-referential
1901944636815413640,diplomatic-relational
1901638302567911695,diplomatic-relational
1900506680514789507,religious-referential
1900154781450055714,unclassified
1900136177857917086,religious-referential
1899827832781468159,religious-referential
1899794865610690612,religious-referential
1899416029123551443,religious-referential
1899046246859284513,diplomatic-relational
1898017427130106104,religious-referential
1897616437788778593,unclassified
1897606083310453109,diplomatic-relational
1897296520556503149,diplomatic-relational
1897293811266756645,unclassified
1896550676618244150,religious-referential
1896522819892400375,religious-referential
1896511453370441791,religious-referential
1895939443170951460,religious-referential
1895486963085639770,religious-referential
1895232836225114358,religious-referential
1895118587423060448,diplomatic-relational
1895040884292338068,diplomatic-relational
1894866096873988406,religious-referential
1894773208848511086,religious-referential
1894728939311968548,religious-referential
1894709474801189118,diplomatic-relational
1894683808999330109,religious-referential
1894034019181834337,diplomatic-relational
1892944789370282407,unclassified
1892899095464870094,unclassified
1892874937871769850,digital-influential
1892550105053458654,religious-referential
1892546309241844208,religious-referential
1892519125483766198,religious-referential
1892515866022977980,religious-referential
1892504860848689211,religious-referential
1891865489829167391,religious-referential
1889692778910687642,diplomatic-relational
1887880272957374528,religious-referential
1887119324239765690,digital-influential
1886785826161340501,digital-influential
1886334944059720023,religious-referential
1884516970353062347,diplomatic-relational
1883807860066545732,religious-referential
1882795705070403885,religious-referential
1882790587700855275,diplomatic-relational
1882067146131571120,religious-referential
1881707204371439838,diplomatic-relational
1881692358959628295,diplomatic-relational
1881663338159251796,unclassified
1880267317546041716,diplomatic-relational
1879522857249849674,unclassified
1877304667132055975,diplomatic-relational
1876582663961841714,religious-referential
1876257603468329186,religious-referential
1875189057569136770,diplomatic-relational
1874752550668488779,diplomatic-relational
1874731800590991561,religious-referential
1874006208128180589,religious-referential
1873639577841553430,diplomatic-relational
1872645674866745492,religious-referential
1870050400801374389,digital-influential
1869657494659993786,religious-referential
1869349482409975817,digital-influential
1868976755580846588,religious-referential
1866853379399405915,diplomatic-relational
1866038340769747394,unclassified
1863952316929352080,religious-referential
1863921039366836294,diplomatic-relational
1863915561383583909,diplomatic-relational
1863911487502258683,diplomatic-relational
1863899646986174520,diplomatic-relational
1863589913557397784,religious-referential
1863555438253400101,unclassified
1862503874818400700,diplomatic-relational
1862147657667346930,religious-referential
1862105314423669089,unclassified
1861697646684991844,diplomatic-relational
1861361123116605528,religious-referential
1857425596650791189,diplomatic-relational
1857004479113052528,religious-referential
1856279433373467117,religious-referential
1856263266323853517,digital-influential
1854891141247782926,religious-referential
1853348165396639883,religious-referential
